constructorResultsId,raceId,constructorId,points,status
12868,588,1,6.0,\N
12867,588,6,9.0,\N
12885,589,64,3.0,\N
12884,589,1,6.0,\N
12883,589,6,9.0,\N
12785,582,56,0.0,\N
12786,582,202,0.0,\N
12787,582,37,0.0,\N
12802,583,66,0.0,\N
12803,583,74,0.0,\N
12817,584,37,0.0,\N
12818,584,56,0.0,\N
12819,584,67,0.0,\N
12833,585,3,0.0,\N
12834,585,57,0.0,\N
12835,585,74,0.0,\N
12848,586,32,0.0,\N
12849,586,74,0.0,\N
12864,587,73,0.0,\N
12865,587,74,0.0,\N
12866,587,56,0.0,\N
12880,588,73,0.0,\N
12881,588,66,0.0,\N
12882,588,74,0.0,\N
12894,589,73,0.0,\N
12895,589,75,0.0,\N
12896,589,3,0.0,\N
12905,560,56,0.0,\N
12906,560,27,0.0,\N
12907,560,32,0.0,\N
12908,560,67,0.0,\N
12909,560,66,0.0,\N
12920,561,57,0.0,\N
12921,561,64,0.0,\N
12922,561,56,0.0,\N
12923,561,27,0.0,\N
12924,561,204,0.0,\N
12935,562,67,0.0,\N
12936,562,73,0.0,\N
12937,562,32,0.0,\N
12938,562,59,0.0,\N
12939,562,64,0.0,\N
12950,563,25,0.0,\N
12951,563,67,0.0,\N
12952,563,37,0.0,\N
12953,563,56,0.0,\N
12954,563,182,0.0,\N
12955,563,3,0.0,\N
12956,563,64,0.0,\N
12967,564,204,0.0,\N
12968,564,57,0.0,\N
12969,564,37,0.0,\N
12970,564,64,0.0,\N
12971,564,32,0.0,\N
12972,564,56,0.0,\N
12983,565,57,0.0,\N
12984,565,32,0.0,\N
12985,565,63,0.0,\N
12986,565,70,0.0,\N
12987,565,64,0.0,\N
12999,566,59,0.0,\N
13000,566,70,0.0,\N
13001,566,56,0.0,\N
13002,566,182,0.0,\N
13003,566,67,0.0,\N
13013,567,63,0.0,\N
13014,567,64,0.0,\N
13015,567,57,0.0,\N
13016,567,56,0.0,\N
13017,567,6,0.0,\N
13018,567,182,0.0,\N
13029,568,37,0.0,\N
