constructorResultsId,raceId,constructorId,points,status
14689,888,15,1.0,\N
14690,888,10,0.0,\N
14691,888,5,0.0,\N
14692,888,3,0.0,\N
14693,888,207,0.0,\N
14694,888,206,0.0,\N
14695,890,131,25.0,\N
14696,890,208,26.0,\N
14697,890,9,27.0,\N
14698,890,6,14.0,\N
14699,890,1,8.0,\N
14700,890,3,1.0,\N
14701,890,15,0.0,\N
14702,890,5,0.0,\N
14703,890,207,0.0,\N
14704,890,206,0.0,\N
14705,890,10,0.0,\N
14706,891,9,35.0,\N
14707,891,6,24.0,\N
14708,891,131,27.0,\N
14709,891,1,8.0,\N
14710,891,208,4.0,\N
14711,891,10,2.0,\N
14712,891,5,1.0,\N
14713,891,15,0.0,\N
14714,891,3,0.0,\N
14715,891,207,0.0,\N
14716,891,206,0.0,\N
14717,892,9,40.0,\N
14718,892,6,30.0,\N
14719,892,15,10.0,\N
14720,892,131,10.0,\N
14721,892,5,6.0,\N
14722,892,208,4.0,\N
14723,892,1,1.0,\N
14724,892,3,0.0,\N
14725,892,10,0.0,\N
14726,892,207,0.0,\N
14727,892,206,0.0,\N
14728,893,9,25.0,\N
14729,893,6,26.0,\N
14730,893,208,15.0,\N
14731,893,131,22.0,\N
14732,893,1,10.0,\N
14733,893,15,2.0,\N
14734,893,10,1.0,\N
14735,893,3,0.0,\N
14736,893,5,0.0,\N
14737,893,207,0.0,\N
14738,893,206,0.0,\N
14739,894,9,25.0,\N
14740,894,208,33.0,\N
14741,894,15,12.0,\N
14742,894,131,16.0,\N
14743,894,6,10.0,\N
14744,894,1,5.0,\N
14745,894,3,0.0,\N
14746,894,207,0.0,\N
14747,894,206,0.0,\N
14748,894,5,0.0,\N
14749,894,10,0.0,\N
14750,895,9,43.0,\N
14751,895,208,25.0,\N
14752,895,6,13.0,\N
14753,895,15,14.0,\N
14754,895,131,4.0,\N
14755,895,1,2.0,\N
14756,895,10,0.0,\N
14757,895,5,0.0,\N
14758,895,3,0.0,\N
14759,895,207,0.0,\N
14760,895,206,0.0,\N
14761,896,9,25.0,\N
14762,896,131,26.0,\N
14763,896,208,21.0,\N
14764,896,6,12.0,\N
14765,896,1,10.0,\N
14766,896,10,6.0,\N
14767,896,5,1.0,\N
14768,896,3,0.0,\N
14769,896,15,0.0,\N
14770,896,206,0.0,\N
14771,896,207,0.0,\N
14772,897,9,43.0,\N
14773,897,131,21.0,\N
14774,897,208,12.0,\N
14775,897,6,14.0,\N
14776,897,10,9.0,\N
14777,897,1,2.0,\N
14778,897,3,0.0,\N
14779,897,15,0.0,\N
14780,897,5,0.0,\N
14781,897,207,0.0,\N
14782,897,206,0.0,\N
14783,898,9,40.0,\N
14784,898,208,18.0,\N
14785,898,131,14.0,\N
14786,898,6,10.0,\N
14787,898,15,8.0,\N
14788,898,1,7.0,\N
14789,898,3,4.0,\N
14790,898,5,0.0,\N
14791,898,10,0.0,\N
14792,898,206,0.0,\N
14793,898,207,0.0,\N
14794,899,9,43.0,\N
14795,899,6,21.0,\N
14796,899,1,20.0,\N
14797,899,131,12.0,\N
14798,899,15,4.0,\N
14799,899,5,1.0,\N
14800,899,10,0.0,\N
14801,899,208,0.0,\N
14802,899,3,0.0,\N
14803,899,206,0.0,\N
14804,899,207,0.0,\N
16881,1120,6,18.0,\N
16880,1120,9,38.0,\N
14808,900,131,25.0,\N
14809,900,9,0.0,\N
14810,900,1,33.0,\N
14811,900,6,18.0,\N
14812,900,3,10.0,\N
14813,900,10,9.0,\N
14814,900,5,6.0,\N
14815,900,15,0.0,\N
14816,900,206,0.0,\N
14817,900,208,0.0,\N
14818,900,207,0.0,\N
14819,901,131,43.0,\N
14820,901,9,15.0,\N
14821,901,6,12.0,\N
14822,901,10,10.0,\N
14823,901,1,10.0,\N
14824,901,3,10.0,\N
14825,901,5,1.0,\N
14826,901,208,0.0,\N
14827,901,207,0.0,\N
14828,901,206,0.0,\N
14829,901,15,0.0,\N
14830,902,131,43.0,\N
14831,902,10,25.0,\N
14832,902,9,20.0,\N
14833,902,3,10.0,\N
14834,902,6,3.0,\N
14835,902,5,0.0,\N
14836,902,208,0.0,\N
14837,902,206,0.0,\N
14838,902,207,0.0,\N
14839,902,1,0.0,\N
14840,902,15,0.0,\N
14841,903,131,43.0,\N
14842,903,6,19.0,\N
14843,903,9,22.0,\N
14844,903,10,10.0,\N
14845,903,3,6.0,\N
14846,903,5,1.0,\N
14847,903,1,0.0,\N
14848,903,208,0.0,\N
14849,903,15,0.0,\N
14850,903,207,0.0,\N
14851,903,206,0.0,\N
15820,1007,9,25.0,\N
14853,904,131,43.0,\N
14854,904,9,27.0,\N
14855,904,3,10.0,\N
14856,904,6,14.0,\N
14857,904,208,4.0,\N
14858,904,10,3.0,\N
14859,904,1,0.0,\N
14860,904,5,0.0,\N
14861,904,15,0.0,\N
14862,904,206,0.0,\N
14863,904,207,0.0,\N
14864,905,131,43.0,\N
14865,905,9,15.0,\N
14866,905,6,12.0,\N
14867,905,10,10.0,\N
