weatherId,country,location,date,time,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
148,Monaco,Monte-Carlo,2007-05-27,12:00:00,22.0,17.4,19.6,22.0,17.4,19.6,15.4,77.4,0.149,100.0,4.17,rain,,,53.6,37.5,239.7,1002.3,48.1,27.5,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000"
149,Monaco,Monte-Carlo,2008-05-25,12:00:00,21.7,16.7,18.4,21.7,16.7,18.4,14.8,81.4,4.648,100.0,20.83,rain,,,71.4,37.6,63.7,1013.2,97.0,24.0,,,,,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"7,684,099,999,076,900,000,000,000,000,000,000,000,000,000"
150,Monaco,Monte-Carlo,2009-05-24,12:00:00,24.3,16.8,21.3,24.3,16.8,21.3,17.1,77.6,0.0,0.0,0.0,,0.0,0.0,18.4,14.8,93.9,1019.3,27.9,19.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76,840,999,990,769,000,000,000,000,000,000"
151,Monaco,Monte-Carlo,2010-05-16,12:00:00,20.1,13.3,17.0,20.1,13.3,17.0,9.1,59.8,0.0,0.0,0.0,,0.0,0.0,33.5,23.3,277.5,1007.7,68.6,33.4,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07684099999,LFMD,07690099999,16153099999,LFMN"
152,Monaco,Monte-Carlo,2011-05-29,12:00:00,22.2,16.9,19.9,22.2,16.9,19.9,11.5,59.4,0.0,0.0,0.0,,,,24.1,15.7,50.3,1017.3,13.6,37.2,353.0,30.6,10.0,,Clear,Clear conditions throughout the day.,clear-day,"07684099999,LFMD,07690099999,16153099999,LFMN"
187,Canada,Montreal,2001-06-10,\N,26.1,15.0,21.0,26.1,15.0,21.0,10.0,50.6,0.0,0.0,0.0,,0.0,0.0,,13.3,244.0,1008.1,26.8,18.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"713,770,999,997,137,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
188,Canada,Montreal,2002-06-09,\N,24.0,16.9,19.7,24.0,16.9,19.7,11.6,61.2,0.002,100.0,4.17,rain,0.0,0.0,,16.8,332.7,1015.6,57.4,17.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"7,137,109,999,971,520,000,000,000,000,000,000,000,000,000,000,000,000,000"
189,Canada,Montreal,2003-06-15,\N,19.1,14.0,16.5,19.1,14.0,16.5,10.7,70.6,0.012,100.0,4.17,rain,0.0,0.0,,13.1,3.6,1016.1,61.8,16.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"713,770,999,997,137,000,000,000,000,000,000"
190,Canada,Montreal,2004-06-13,\N,25.1,12.9,19.9,25.1,12.9,19.9,9.0,49.9,0.0,0.0,0.0,,0.0,0.0,,11.2,175.6,1017.4,40.0,18.2,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"713,770,999,997,137,000,000,000,000,000,000"
191,Canada,Montreal,2005-06-12,13:00:00,32.0,24.0,27.1,34.2,24.0,28.4,20.4,67.4,0.0,0.0,0.0,,0.0,0.0,33.5,13.0,220.9,1011.6,21.3,10.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"713,770,999,997,137,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
