raceId,driverId,lap,position,time,milliseconds
1051,840,36,7,1:28.044,88044
1051,840,37,7,1:27.987,87987
1051,840,38,7,1:28.586,88586
1051,840,39,7,1:27.905,87905
1051,840,40,7,1:27.811,87811
1051,840,41,7,1:27.706,87706
1051,840,42,6,1:27.685,87685
1051,840,43,6,1:27.631,87631
1051,840,44,6,1:27.356,87356
1051,840,45,6,1:27.604,87604
1051,840,46,7,1:28.683,88683
1051,840,47,7,1:27.911,87911
1051,840,48,7,1:27.672,87672
1051,840,49,6,1:27.554,87554
1051,840,50,6,1:27.437,87437
1051,840,51,6,1:27.640,87640
1051,840,52,6,1:27.674,87674
1051,840,53,6,1:27.453,87453
1051,840,54,6,1:37.254,97254
1051,840,55,6,1:50.005,110005
1051,840,56,6,1:32.027,92027
1051,840,57,6,1:27.783,87783
1051,822,1,11,1:41.898,101898
1051,822,2,11,1:32.520,92520
1051,822,3,11,1:30.982,90982
1051,822,4,11,1:31.274,91274
1051,822,5,11,1:31.471,91471
1051,822,6,11,1:31.507,91507
1051,822,7,11,1:31.740,91740
1051,822,8,11,1:32.173,92173
1051,822,9,10,1:30.315,90315
1051,822,10,9,1:28.095,88095
1051,822,11,9,1:29.523,89523
1051,822,12,9,1:30.527,90527
1051,822,13,8,1:31.106,91106
1051,822,14,8,1:29.972,89972
1051,822,15,7,1:29.190,89190
1051,822,16,7,1:29.434,89434
1051,822,17,6,1:28.361,88361
1051,822,18,6,1:29.468,89468
1051,822,19,5,1:29.128,89128
1051,822,20,5,1:29.350,89350
1051,822,21,5,1:30.169,90169
1051,822,22,5,1:29.239,89239
1051,822,23,3,1:28.422,88422
1051,822,24,3,1:28.215,88215
1051,822,25,3,1:28.089,88089
1051,822,26,3,1:27.907,87907
1051,822,27,3,1:27.851,87851
1051,822,28,3,1:27.909,87909
1051,822,29,3,1:27.991,87991
1051,822,30,3,1:27.886,87886
1051,822,31,3,1:27.945,87945
1051,822,32,3,1:27.990,87990
1051,822,33,13,2:31.932,151932
1051,822,34,14,1:35.500,95500
1051,822,35,13,1:29.218,89218
1051,822,36,13,1:28.390,88390
1051,822,37,13,1:27.623,87623
1051,822,38,13,1:27.351,87351
1051,822,39,13,1:27.246,87246
1051,822,40,13,1:28.108,88108
1051,822,41,13,1:27.913,87913
1051,822,42,12,1:27.783,87783
1051,822,43,12,1:27.775,87775
1051,822,44,12,1:28.084,88084
1051,822,45,12,1:29.538,89538
1051,822,46,12,1:28.898,88898
1051,822,47,12,1:28.492,88492
1051,822,48,12,1:28.740,88740
1051,8,1,12,1:42.464,102464
1051,8,2,12,1:32.653,92653
1051,8,3,12,1:31.463,91463
1051,8,4,12,1:31.059,91059
1051,8,5,12,1:31.834,91834
1051,8,6,13,1:33.021,93021
1051,8,7,13,1:31.264,91264
1051,8,8,13,1:32.128,92128
1051,8,9,12,1:31.909,91909
1051,8,10,19,1:52.005,112005
1051,8,11,20,1:34.528,94528
1051,8,12,20,1:30.233,90233
1051,8,13,20,1:30.455,90455
1051,8,14,20,1:30.333,90333
1051,8,15,19,1:30.132,90132
1051,8,16,19,1:29.891,89891
1051,8,17,18,1:30.003,90003
1051,8,18,17,1:30.097,90097
1051,8,19,17,1:29.983,89983
1051,8,20,17,1:30.171,90171
1051,8,21,17,1:31.176,91176
1051,8,22,15,1:29.510,89510
1051,8,23,15,1:29.880,89880
1051,8,24,15,1:29.961,89961
1051,8,25,15,1:29.441,89441
1051,8,26,14,1:29.398,89398
1051,8,27,13,1:29.212,89212
1051,8,28,12,1:30.125,90125
1051,8,29,12,1:29.695,89695
1051,8,30,18,1:50.600,110600
1051,8,31,19,1:35.510,95510
1051,8,32,19,1:28.953,88953
1051,8,33,18,1:29.055,89055
1051,8,34,17,1:28.376,88376
1051,8,35,17,1:29.129,89129
1051,8,36,17,1:28.793,88793
1051,8,37,17,1:27.791,87791
1051,8,38,17,1:28.359,88359
1051,8,39,17,1:28.588,88588
1051,8,40,17,1:28.440,88440
1051,8,41,17,1:28.785,88785
1051,8,42,16,1:28.048,88048
1051,8,43,16,1:28.785,88785
1051,8,44,16,1:28.188,88188
1051,8,45,16,1:28.112,88112
1051,8,46,16,1:27.673,87673
1051,8,47,16,1:27.687,87687
1051,8,48,16,1:28.479,88479
1051,8,49,14,1:26.898,86898
1051,8,50,14,1:27.515,87515
1051,8,51,14,1:27.184,87184
1051,8,52,14,1:27.305,87305
1051,8,53,14,1:26.358,86358
1051,8,54,14,1:47.675,107675
1051,8,55,14,1:42.302,102302
1051,8,56,14,1:26.594,86594
1051,844,1,13,1:43.059,103059
1051,844,2,13,1:32.498,92498
1051,844,3,13,1:31.676,91676
1051,844,4,13,1:31.109,91109
1051,844,5,13,1:31.205,91205
1051,844,6,12,1:31.484,91484
1051,844,7,12,1:31.369,91369
1051,844,8,12,1:32.130,92130
1051,844,9,11,1:32.458,92458
1051,844,10,11,1:29.763,89763
1051,844,11,11,1:29.720,89720
1051,844,12,11,1:29.740,89740
1051,844,13,10,1:30.014,90014
1051,844,14,10,1:30.210,90210
1051,844,15,10,1:29.972,89972
1051,844,16,10,1:29.854,89854
1051,844,17,10,1:30.296,90296
1051,844,18,10,1:29.794,89794
1051,844,19,9,1:29.960,89960
1051,844,20,9,1:30.052,90052
1051,844,21,9,1:29.955,89955
1051,844,22,9,1:30.288,90288
1051,844,23,8,1:29.963,89963
1051,844,24,6,1:30.142,90142
1051,844,25,5,1:29.987,89987
1051,844,26,5,1:30.313,90313
1051,844,27,12,1:53.808,113808
1051,844,28,13,1:35.203,95203
1051,844,29,13,1:28.232,88232
1051,844,30,12,1:29.906,89906
1051,844,31,12,1:27.853,87853
1051,844,32,12,1:27.510,87510
1051,844,33,11,1:28.805,88805
1051,844,34,10,1:28.793,88793
1051,844,35,9,1:28.227,88227
1051,844,36,9,1:27.907,87907
1051,844,37,9,1:27.671,87671
1051,844,38,9,1:27.274,87274
1051,844,39,9,1:27.174,87174
1051,844,40,9,1:27.260,87260
1051,844,41,9,1:27.209,87209
1051,844,42,9,1:26.804,86804
1051,844,43,9,1:27.050,87050
1051,844,44,9,1:26.786,86786
1051,844,45,9,1:26.582,86582
1051,844,46,9,1:26.555,86555
1051,844,47,9,1:27.318,87318
1051,844,48,9,1:26.724,86724
1051,844,49,8,1:27.089,87089
1051,844,50,8,1:27.219,87219
1051,844,51,8,1:27.611,87611
